"month","day","year","13055040","13085040","Monteria"
"01","01","2012",0,0,0
"01","02","2012",0,0,0
"01","03","2012",0,0,0
"01","04","2012",NA,0,0
"01","05","2012",NA,0,0
"01","06","2012",0,0,0
"01","07","2012",0,0,0
"01","08","2012",0,0,0
"01","09","2012",0,0,0
"01","10","2012",0,0,0
"01","11","2012",0,0,0
"01","12","2012",0,0,0
"01","13","2012",0,0,0
"01","14","2012",0,0,0
"01","15","2012",0,0,0
"01","16","2012",0,0,0
"01","17","2012",NA,0,0
"01","18","2012",NA,0,0
"01","19","2012",NA,0,0
"01","20","2012",NA,0,0
"01","21","2012",NA,0,0
"01","22","2012",NA,0,0
"01","23","2012",0,0,0
"01","24","2012",0,0,0
"01","25","2012",0,0,0
"01","26","2012",2.9,0,0
"01","27","2012",0,0,0
"01","28","2012",0,0,0
"01","29","2012",0,0,0
"01","30","2012",0,0,0
"01","31","2012",0,0,0
"02","01","2012",0,0,0
"02","02","2012",0,0,0
"02","03","2012",NA,0,0
"02","04","2012",NA,0,0
"02","05","2012",NA,0,0
"02","06","2012",0,0,0.2
"02","07","2012",0,0,0
"02","08","2012",0,2.2,2.2
"02","09","2012",0.9,0,0.2
"02","10","2012",NA,0,0
"02","11","2012",NA,0,0
"02","12","2012",0,0,0
"02","13","2012",1.4,1.6,1.4
"02","14","2012",0.1,0,0
"02","15","2012",0,0,0
"02","16","2012",0,0,0
"02","17","2012",0,0,0
"02","18","2012",0,0,0
"02","19","2012",0,0,0
"02","20","2012",0,0,0
"02","21","2012",0,0,0
"02","22","2012",0,0,0
"02","23","2012",0,0,0
"02","24","2012",0,0,0
"02","25","2012",0,0,0
"02","26","2012",0,0,0
"02","27","2012",0,0,0
"02","28","2012",0,0,0
"02","29","2012",0,NA,0
"03","01","2012",0,NA,0
"03","02","2012",0,NA,0
"03","03","2012",NA,NA,0
"03","04","2012",0,NA,0
"03","05","2012",0,NA,4.8
"03","06","2012",0,NA,0
"03","07","2012",0,NA,0
"03","08","2012",0,NA,0
"03","09","2012",0,NA,0
"03","10","2012",0,NA,1.6
"03","11","2012",0,NA,0
"03","12","2012",0,NA,0
"03","13","2012",0,NA,0
"03","14","2012",0,NA,0
"03","15","2012",0,NA,0
"03","16","2012",0,NA,0
"03","17","2012",0,NA,0
"03","18","2012",0,NA,0
"03","19","2012",0,NA,0
"03","20","2012",27.6,NA,0
"03","21","2012",1.7,NA,0
"03","22","2012",0,NA,0
"03","23","2012",0,NA,0
"03","24","2012",0,NA,0
"03","25","2012",0,NA,0
"03","26","2012",0,NA,0
"03","27","2012",0,NA,0
"03","28","2012",0,NA,0
"03","29","2012",0.1,NA,0
"03","30","2012",0,NA,0
"03","31","2012",0,NA,0
"04","01","2012",0,0,0
"04","02","2012",11.3,0.3,0
"04","03","2012",5.3,12,4.4
"04","04","2012",30.9,27.1,14.2
"04","05","2012",7.4,0.2,1.6
"04","06","2012",0.3,0,0.2
"04","07","2012",0.1,2,0
"04","08","2012",0.3,0,0.2
"04","09","2012",5.7,0.7,5.4
"04","10","2012",0.1,0,0
"04","11","2012",0,0,0
"04","12","2012",0,2.7,0
"04","13","2012",0,0,0
"04","14","2012",0,0,0
"04","15","2012",0,0.3,0.4
"04","16","2012",0,0.2,0
"04","17","2012",0,5,2.6
"04","18","2012",2.1,7.7,0.2
"04","19","2012",0.1,0,0
"04","20","2012",0.2,0,0
"04","21","2012",1.8,0.2,9
"04","22","2012",1.4,0.1,7
"04","23","2012",0,10.9,0
"04","24","2012",11.6,0.3,9.6
"04","25","2012",17,0.3,4.2
"04","26","2012",26.5,3.6,1.2
"04","27","2012",NA,2,0.2
"04","28","2012",NA,0,0
"04","29","2012",NA,0,0
"04","30","2012",5.9,0,0
"05","01","2012",1.1,6.3,11.8
"05","02","2012",18.2,4.4,6
"05","03","2012",0.1,0,0.2
"05","04","2012",0,0,0
"05","05","2012",4.7,4.8,8.8
"05","06","2012",NA,5.7,6.2
"05","07","2012",NA,2.3,3.2
"05","08","2012",NA,20.7,0
"05","09","2012",19.9,2.6,16
"05","10","2012",0,1.4,0
"05","11","2012",7.6,4.7,4.4
"05","12","2012",0.1,10.3,0
"05","13","2012",17.4,14,15.8
"05","14","2012",0.1,1.4,0.4
"05","15","2012",0,0,0
"05","16","2012",2.3,11.3,3.8
"05","17","2012",0.2,1.8,2.8
"05","18","2012",NA,3.5,3.6
"05","19","2012",0,0.6,0
"05","20","2012",0,0,0
"05","21","2012",0.8,0,0
"05","22","2012",0,3.6,1.4
"05","23","2012",0.1,0,0
"05","24","2012",2.9,0,0
"05","25","2012",23.2,9.1,13.2
"05","26","2012",0.1,0,0
"05","27","2012",NA,0.7,0
"05","28","2012",0.2,0.3,0
"05","29","2012",0,0,1.2
"05","30","2012",52.8,18.4,12
"05","31","2012",NA,9.8,0
"06","01","2012",NA,5.2,13.4
"06","02","2012",1.6,0,18.6
"06","03","2012",2.2,0,7.6
"06","04","2012",12.9,3.7,9.8
"06","05","2012",NA,0,0
"06","06","2012",0,0,0
"06","07","2012",0,19.8,0
"06","08","2012",NA,4.7,22.2
"06","09","2012",NA,0,0
"06","10","2012",NA,25.2,29.6
"06","11","2012",NA,39.8,1.2
"06","12","2012",NA,13,65
"06","13","2012",0.1,32.6,12.6
"06","14","2012",0,0,22.2
"06","15","2012",13.7,8.3,1.8
"06","16","2012",0.2,0.1,0.8
"06","17","2012",0,0,0
"06","18","2012",0,0,0
"06","19","2012",0,0,0
"06","20","2012",12.6,77.4,2.8
"06","21","2012",60,4.2,102.4
"06","22","2012",0,0,0
"06","23","2012",0,0.2,0
"06","24","2012",12.3,0.6,1.2
"06","25","2012",0,14.9,0
"06","26","2012",7.2,1.8,14.6
"06","27","2012",0.1,2.7,0.2
"06","28","2012",0.4,0.7,1.4
"06","29","2012",0,0,0
"06","30","2012",0.8,0,0
"07","01","2012",0,0,0
"07","02","2012",0,0,0
"07","03","2012",5.5,20.2,0.6
"07","04","2012",9.4,1.9,10
"07","05","2012",15,52.5,16.2
"07","06","2012",NA,0,8
"07","07","2012",NA,6.7,7
"07","08","2012",NA,0,0.2
"07","09","2012",NA,0,0
"07","10","2012",NA,10.8,0
"07","11","2012",31.2,0.3,15.2
"07","12","2012",NA,0,0
"07","13","2012",NA,20.4,27.6
"07","14","2012",NA,0,2.6
"07","15","2012",NA,0,0
"07","16","2012",NA,0,0
"07","17","2012",NA,21.8,0
"07","18","2012",NA,0,14.8
"07","19","2012",NA,0,0
"07","20","2012",NA,0,1.6
"07","21","2012",NA,0,0
"07","22","2012",NA,0,0
"07","23","2012",NA,14.2,0
"07","24","2012",NA,0.3,14.8
"07","25","2012",NA,0,0.2
"07","26","2012",NA,3,0
"07","27","2012",0.1,3.4,7.4
"07","28","2012",1.5,13.2,2.2
"07","29","2012",12.7,2.7,10
"07","30","2012",4,3,5.6
"07","31","2012",NA,1.1,1.6
"08","01","2012",0,16.4,0
"08","02","2012",7.1,2.5,11
"08","03","2012",0.2,0.3,2.6
"08","04","2012",0,0.3,34.6
"08","05","2012",0.2,0.7,0.2
"08","06","2012",2.3,0.8,0.6
"08","07","2012",2.2,0,3.6
"08","08","2012",0.5,21.1,44.8
"08","09","2012",0.2,0,0.4
"08","10","2012",1.7,26.5,2.2
"08","11","2012",6.9,0.2,12.6
"08","12","2012",NA,0.6,0
"08","13","2012",NA,38.9,1.8
"08","14","2012",NA,0.5,24.2
"08","15","2012",NA,0,0.2
"08","16","2012",0,0,0
"08","17","2012",14,32.6,23.6
"08","18","2012",5,0,6.6
"08","19","2012",0,2.3,0
"08","20","2012",1.4,1.6,2.2
"08","21","2012",NA,8.3,10.4
"08","22","2012",0,26.7,8.4
"08","23","2012",14.5,0,7.2
"08","24","2012",3.9,9.8,3.8
"08","25","2012",0.4,0.8,0.2
"08","26","2012",2.9,1.6,3
"08","27","2012",0,8.2,0.2
"08","28","2012",0,0,0
"08","29","2012",NA,14.3,0
"08","30","2012",20.5,0,12
"08","31","2012",0,4.5,0
"09","01","2012",7.8,0,4
"09","02","2012",5,1.7,4.4
"09","03","2012",0.1,2.3,0.4
"09","04","2012",NA,20.6,22.6
"09","05","2012",NA,0,4
"09","06","2012",0,0,0
"09","07","2012",NA,0,0
"09","08","2012",NA,25.6,20.4
"09","09","2012",0,19.6,0
"09","10","2012",0.8,0,21
"09","11","2012",0,0,0
"09","12","2012",3.6,10.7,1.6
"09","13","2012",19,2.7,15.8
"09","14","2012",0,0,0
"09","15","2012",0,0,0
"09","16","2012",0,15.3,0.2
"09","17","2012",21.1,0.6,14.6
"09","18","2012",0.7,0.4,1
"09","19","2012",0,0,0.2
"09","20","2012",4.7,0,2.4
"09","21","2012",0.4,0,0
"09","22","2012",2.6,8.3,11
"09","23","2012",0,12,0.4
"09","24","2012",1.2,0.6,15.6
"09","25","2012",0,0.7,0
"09","26","2012",0.5,0,0.4
"09","27","2012",0,27.8,0
"09","28","2012",4,12.6,9
"09","29","2012",NA,0,32
"09","30","2012",NA,1.5,1.2
"10","01","2012",NA,0,0.6
"10","02","2012",NA,0.1,0.6
"10","03","2012",NA,0,0
"10","04","2012",NA,0,0
"10","05","2012",NA,3.3,0
"10","06","2012",64,26.6,20.8
"10","07","2012",0.1,0,0
"10","08","2012",NA,0,0.4
"10","09","2012",0.9,0,0
"10","10","2012",11.5,5.7,4
"10","11","2012",0,12.7,0.2
"10","12","2012",0,0,4
"10","13","2012",0,0,0
"10","14","2012",0.3,13.8,0.4
"10","15","2012",5.7,4,4.8
"10","16","2012",NA,1.4,3.4
