"month","day","year","13055040","13085040","Monteria"
"01","01","2012",NA,77,80.2083333333333
"01","02","2012",NA,78,83.2083333333333
"01","03","2012",NA,78,83.1666666666667
"01","04","2012",NA,85,87.75
"01","05","2012",NA,79,84.5833333333333
"01","06","2012",NA,80,82.75
"01","07","2012",NA,81,83
"01","08","2012",NA,81,84.25
"01","09","2012",NA,80,83.2083333333333
"01","10","2012",NA,81,85.25
"01","11","2012",NA,78,83.375
"01","12","2012",NA,81,83.7083333333333
"01","13","2012",NA,79,81.9583333333333
"01","14","2012",NA,80,83.1666666666667
"01","15","2012",NA,81,85.75
"01","16","2012",NA,78,81.9166666666667
"01","17","2012",NA,75,76.25
"01","18","2012",NA,79,80.5
"01","19","2012",NA,77,80.5416666666667
"01","20","2012",NA,78,79.4583333333333
"01","21","2012",NA,78,76.3333333333333
"01","22","2012",NA,75,79.4166666666667
"01","23","2012",NA,78,80.7083333333333
"01","24","2012",NA,79,80.9166666666667
"01","25","2012",NA,73,78.5833333333333
"01","26","2012",NA,75,79.2916666666667
"01","27","2012",NA,77,80.625
"01","28","2012",NA,77,80.2083333333333
"01","29","2012",NA,78,80.7083333333333
"01","30","2012",NA,76,80.0416666666667
"01","31","2012",NA,76,77.875
"02","01","2012",NA,72,75.25
"02","02","2012",NA,74,79
"02","03","2012",NA,73,80.0833333333333
"02","04","2012",NA,75,80.3333333333333
"02","05","2012",NA,79,82.625
"02","06","2012",NA,79,84.8333333333333
"02","07","2012",NA,79,81.2083333333333
"02","08","2012",NA,77,82.7083333333333
"02","09","2012",NA,82,84
"02","10","2012",NA,79,81.5
"02","11","2012",NA,78,80.9583333333333
"02","12","2012",NA,77,80.1666666666667
"02","13","2012",NA,73,78.0833333333333
"02","14","2012",NA,78,81.1666666666667
"02","15","2012",NA,75,78.4166666666667
"02","16","2012",NA,75,77.5833333333333
"02","17","2012",NA,73,76.75
"02","18","2012",NA,72,78.875
"02","19","2012",NA,77,78.9583333333333
"02","20","2012",NA,78,76.5416666666667
"02","21","2012",NA,74,77.5833333333333
"02","22","2012",NA,74,77.4583333333333
"02","23","2012",NA,73,77.0833333333333
"02","24","2012",NA,72,76.9583333333333
"02","25","2012",NA,74,80
"02","26","2012",NA,74,76.25
"02","27","2012",NA,72,72.625
"02","28","2012",NA,75,77.7916666666667
"02","29","2012",NA,75,76.625
"03","01","2012",NA,NA,77.0833333333333
"03","02","2012",NA,NA,77.7083333333333
"03","03","2012",NA,NA,79.2916666666667
"03","04","2012",NA,NA,81.75
"03","05","2012",NA,NA,81.0833333333333
"03","06","2012",NA,NA,81.0833333333333
"03","07","2012",NA,NA,73.8333333333333
"03","08","2012",NA,NA,72.3333333333333
"03","09","2012",NA,NA,77.6666666666667
"03","10","2012",NA,NA,80.2916666666667
"03","11","2012",NA,NA,79.3333333333333
"03","12","2012",NA,NA,76.2083333333333
"03","13","2012",NA,NA,75.75
"03","14","2012",NA,NA,77.1666666666667
"03","15","2012",NA,NA,76.625
