"month","day","year","13055040","13085040","Monteria"
"01","01","2012",37.2,34.8,35.1
"01","02","2012",36,33.6,34.1
"01","03","2012",34.3,31.8,31.9
"01","04","2012",32.2,29,29.3
"01","05","2012",NA,33.4,33.2
"01","06","2012",35.8,33.4,33.7
"01","07","2012",35.4,33.4,33.7
"01","08","2012",35.5,33,33.6
"01","09","2012",37,33.2,32.9
"01","10","2012",34.9,33,31.4
"01","11","2012",42.3,34,33.7
"01","12","2012",36.2,33.2,33.1
"01","13","2012",NA,33,33.6
"01","14","2012",43,33.6,33.9
"01","15","2012",41,32.6,33.8
"01","16","2012",36,33.8,34.5
"01","17","2012",NA,33.8,34.6
"01","18","2012",NA,34.4,35.1
"01","19","2012",33.7,33.6,34.5
"01","20","2012",NA,33.6,34.4
"01","21","2012",35,34.4,35.2
"01","22","2012",NA,34.2,34.7
"01","23","2012",36.2,34.2,34.8
"01","24","2012",38.5,32.6,34.2
"01","25","2012",35.1,33.8,34.2
"01","26","2012",36.5,34.6,34.7
"01","27","2012",35.3,33.8,33.8
"01","28","2012",35.7,34.4,34.5
"01","29","2012",35.9,34.2,34.9
"01","30","2012",36,33.4,35
"01","31","2012",36.2,35.2,35.2
"02","01","2012",36.9,35.4,36.2
"02","02","2012",35.9,34.8,35.4
"02","03","2012",NA,33.8,33.9
"02","04","2012",NA,34,34.6
"02","05","2012",33.8,32.4,32.9
"02","06","2012",32.1,32,31.2
"02","07","2012",36.5,34.6,36.1
"02","08","2012",35.3,33.6,34.1
"02","09","2012",33.6,33.2,33.1
"02","10","2012",NA,33.4,34.3
"02","11","2012",35,33,33.9
"02","12","2012",33.4,32.2,32.6
"02","13","2012",36.1,33.6,34.9
"02","14","2012",34.8,33.8,34.3
"02","15","2012",36.9,35,35.5
"02","16","2012",38.1,34.8,35.6
"02","17","2012",36.6,34.6,35.9
"02","18","2012",36.6,33.4,34.4
"02","19","2012",36,34.2,34.8
"02","20","2012",35.7,34,34.7
"02","21","2012",NA,35,36.3
"02","22","2012",37.6,35.4,36
"02","23","2012",37.2,35.2,36.4
"02","24","2012",37.1,36.2,36.3
"02","25","2012",35.2,33.6,34.4
"02","26","2012",37.2,35,36.4
"02","27","2012",NA,35.2,36.5
"02","28","2012",36.2,34.6,35.2
"02","29","2012",36.5,35,35.9
"03","01","2012",37.2,NA,36.3
"03","02","2012",37.3,NA,36.8
"03","03","2012",37,NA,35.7
"03","04","2012",40.6,NA,33.7
"03","05","2012",35.8,NA,34.9
"03","06","2012",34.8,NA,34.3
"03","07","2012",38.9,NA,37.7
"03","08","2012",38.2,NA,37.6
"03","09","2012",38,NA,36.1
"03","10","2012",37,NA,35.3
"03","11","2012",37.7,NA,36
"03","12","2012",38.5,NA,37.3
"03","13","2012",37.8,NA,37.1
"03","14","2012",38.2,NA,38.1
"03","15","2012",37.9,NA,36.3
"03","16","2012",37.5,NA,35.8
"03","17","2012",34.7,NA,33.8
