"month","day","year","13055040","13085040","Monteria"
"01","01","2012",24.1,23,23.8
"01","02","2012",24.4,23.2,24
"01","03","2012",25.3,24.2,24.5
"01","04","2012",NA,23.4,24.4
"01","05","2012",NA,22.8,23.8
"01","06","2012",23.7,22.8,23.6
"01","07","2012",NA,23.2,24.3
"01","08","2012",23.9,22,23.6
"01","09","2012",22,22.6,24.1
"01","10","2012",24.3,22.6,24.5
"01","11","2012",23.9,22.8,24
"01","12","2012",23.7,23.8,24.2
"01","13","2012",24.8,22.8,24.4
"01","14","2012",24.6,22.4,24
"01","15","2012",24.9,23.4,24.5
"01","16","2012",23.6,22.2,23.6
"01","17","2012",NA,21.8,22.9
"01","18","2012",NA,22.5,23.2
"01","19","2012",NA,22.5,23.4
"01","20","2012",NA,22,22.9
"01","21","2012",NA,NA,21.9
"01","22","2012",NA,NA,23.7
"01","23","2012",23.3,21.6,22.8
"01","24","2012",23.2,22.4,23.2
"01","25","2012",24.2,23,23.8
"01","26","2012",24,22.4,23.6
"01","27","2012",24.3,NA,24.1
"01","28","2012",23.4,22.2,22.9
"01","29","2012",23.5,22.2,23.4
"01","30","2012",24.5,22.8,23.9
"01","31","2012",24.7,NA,24.1
"02","01","2012",23.8,22.4,23.7
"02","02","2012",21.9,22.6,23.2
"02","03","2012",NA,22.8,23.6
"02","04","2012",NA,22,23.4
"02","05","2012",NA,23.2,24.2
"02","06","2012",24.5,NA,24.5
"02","07","2012",24.3,23,24.1
"02","08","2012",25.5,23.8,24.9
"02","09","2012",25,NA,24.7
"02","10","2012",NA,23.4,24.3
"02","11","2012",25.2,23.4,24.5
"02","12","2012",24.1,23,24.3
"02","13","2012",24,21.6,23.2
"02","14","2012",23.7,23,23.7
"02","15","2012",NA,22.8,23
"02","16","2012",21.2,21.4,23.2
"02","17","2012",22.9,21,22.7
"02","18","2012",23,22.6,22.8
"02","19","2012",24.2,21.8,23.4
"02","20","2012",24.4,22.8,23.7
"02","21","2012",23.1,22.6,22.8
"02","22","2012",24.2,22.2,23.7
"02","23","2012",24.3,22.6,23.3
"02","24","2012",23.8,22.8,23.6
"02","25","2012",24.4,22.8,24.1
"02","26","2012",24.9,23,24.9
"02","27","2012",23.7,22.4,22.8
"02","28","2012",24.2,22.6,23.7
"02","29","2012",24.9,23,24.1
"03","01","2012",23.7,NA,23.8
"03","02","2012",24.6,NA,23.8
"03","03","2012",NA,NA,25.8
"03","04","2012",24.1,NA,25.3
"03","05","2012",24.8,NA,25.6
"03","06","2012",25.4,NA,24.9
"03","07","2012",23.7,NA,23.5
"03","08","2012",22.7,NA,23.1
"03","09","2012",24.3,NA,23.6
"03","10","2012",24.8,NA,24.6
"03","11","2012",25.1,NA,24.7
"03","12","2012",25.1,NA,24.9
"03","13","2012",25.9,NA,25.7
"03","14","2012",25.9,NA,25.3
"03","15","2012",NA,NA,25.4
"03","16","2012",NA,NA,25.4
"03","17","2012",NA,NA,25.9
"03","18","2012",25.6,NA,25.2
"03","19","2012",25.5,NA,24.8
"03","20","2012",25,NA,24.7
"03","21","2012",24.3,NA,24.2
"03","22","2012",24.8,NA,24.4
"03","23","2012",25.3,NA,24.4
"03","24","2012",24.9,NA,25.2
"03","25","2012",24.4,NA,24.8
"03","26","2012",25.3,NA,24.7
"03","27","2012",24.5,NA,24.5
"03","28","2012",26.5,NA,26.4
"03","29","2012",24.6,NA,25.7
"03","30","2012",25.9,NA,26.2
"03","31","2012",NA,NA,25.2
"04","01","2012",26,24,25.9
"04","02","2012",25.4,24.2,25.4
"04","03","2012",25.7,24.2,25.8
"04","04","2012",23.1,23.6,23.8
"04","05","2012",24.4,23,24.9
"04","06","2012",24.9,23.2,24.6
"04","07","2012",24.7,23.6,24.5
"04","08","2012",24.1,23.4,23.9
"04","09","2012",24,23.8,23.9
"04","10","2012",NA,23,23.8
"04","11","2012",24.6,23.4,24.2
"04","12","2012",25.4,23.8,24.8
"04","13","2012",24.3,23.8,24.2
"04","14","2012",25.8,23.8,25.5
"04","15","2012",24.5,NA,24.3
"04","16","2012",24.9,24,24.8
"04","17","2012",23.3,24,24.6
"04","18","2012",23.6,23.2,23.7
"04","19","2012",24.9,NA,24.5
"04","20","2012",24.7,24,24.5
"04","21","2012",24.5,23.8,24.6
"04","22","2012",24.2,23,23.5
"04","23","2012",24.6,24.4,24.3
"04","24","2012",24.3,22.8,24.3
"04","25","2012",24.3,23,24.4
"04","26","2012",25.8,24.2,25.6
"04","27","2012",NA,24.2,25.6
"04","28","2012",NA,NA,24.9
"04","29","2012",NA,NA,25.4
"04","30","2012",24.6,23.6,24.5
"05","01","2012",25.6,24,25.7
"05","02","2012",23.5,23,23.6
"05","03","2012",23.3,22.6,23.2
"05","04","2012",25.1,24.4,25.2
"05","05","2012",24.1,23.4,24.3
"05","06","2012",NA,23.8,23.9
"05","07","2012",NA,23.8,24.1
"05","08","2012",NA,23.2,23.2
"05","09","2012",NA,23.4,24.6
"05","10","2012",NA,NA,25.1
"05","11","2012",25.8,NA,25.7
"05","12","2012",25.3,24.2,25.1
"05","13","2012",22.5,22.6,22.6
"05","14","2012",23.9,24.4,23.9
"05","15","2012",23.7,22.4,23.5
"05","16","2012",25.3,24.4,25.4
"05","17","2012",25.8,24.4,25.8
"05","18","2012",24.8,24,24.7
"05","19","2012",24.3,NA,24
"05","20","2012",24.7,23.8,24.4
"05","21","2012",24,23,24
"05","22","2012",25,24,25.2
"05","23","2012",25,23.8,24.8
"05","24","2012",25.9,24.6,25.9
"05","25","2012",24.2,23.6,24.3
"05","26","2012",23.7,NA,23.9
"05","27","2012",NA,23.4,24.9
"05","28","2012",26.9,25.4,26.6
"05","29","2012",25.2,24.4,25.8
"05","30","2012",24.7,24.8,24.9
"05","31","2012",NA,NA,23.6
"06","01","2012",NA,NA,23.2
"06","02","2012",23,22.6,22.8
"06","03","2012",22.5,NA,22.2
"06","04","2012",23.8,NA,25.2
"06","05","2012",23.6,22,23.3
"06","06","2012",NA,NA,25.6
"06","07","2012",26.4,24.8,26.3
"06","08","2012",NA,21.2,25.2
"06","09","2012",NA,23.8,25.1
"06","10","2012",NA,24.6,22.9
"06","11","2012",23.6,22.2,23.1
"06","12","2012",NA,22.2,22.4
"06","13","2012",23.7,22.6,23.7
"06","14","2012",25.5,24,23.9
"06","15","2012",23.5,23.4,23.6
"06","16","2012",23.4,NA,23.5
"06","17","2012",24.7,23.6,24.4
"06","18","2012",25.7,25.2,25.4
"06","19","2012",25.5,NA,25.5
"06","20","2012",26.1,24.6,25.6
"06","21","2012",23.5,22.6,23.3
"06","22","2012",23.9,23,24
"06","23","2012",25.4,24.4,25.2
"06","24","2012",26,24.6,25.6
"06","25","2012",24.5,NA,24.3
"06","26","2012",23,21.8,22.2
"06","27","2012",24.7,24.6,24.3
"06","28","2012",25.7,24.2,25.5
"06","29","2012",24.7,23.2,24.3
"06","30","2012",25,24.2,24.5
"07","01","2012",24.3,22.8,24.1
"07","02","2012",24,24,25.2
"07","03","2012",25.1,22,25.2
"07","04","2012",21.6,NA,21.3
"07","05","2012",NA,23.4,24.7
"07","06","2012",NA,22.4,22.3
"07","07","2012",NA,24.2,22.1
"07","08","2012",NA,21.6,22.2
"07","09","2012",NA,24,24.2
"07","10","2012",24.7,23.6,24.1
"07","11","2012",22.7,20.8,22.2
"07","12","2012",NA,NA,23.8
"07","13","2012",NA,NA,22.3
"07","14","2012",NA,21.2,22.6
"07","15","2012",25,23,24.5
"07","16","2012",NA,25.6,26.5
"07","17","2012",NA,24.8,25.9
"07","18","2012",NA,22.6,22.5
"07","19","2012",NA,NA,25.1
"07","20","2012",NA,23,23.6
"07","21","2012",NA,24,24.4
"07","22","2012",NA,24,24.9
"07","23","2012",NA,24.4,25.9
"07","24","2012",NA,22.8,22.8
"07","25","2012",NA,24,25
"07","26","2012",NA,24.6,25.8
"07","27","2012",23.9,23.2,24
"07","28","2012",24.6,NA,24.4
"07","29","2012",24.7,23.8,24.8
"07","30","2012",25.4,23.6,24.1
"07","31","2012",NA,23,24.5
"08","01","2012",24.5,23.6,24.2
"08","02","2012",23,23.6,22.8
"08","03","2012",25.3,NA,24.7
"08","04","2012",25.6,24.4,25
"08","05","2012",25.3,NA,24.8
"08","06","2012",24.3,23.8,24.1
"08","07","2012",24.8,23.8,24.7
"08","08","2012",25.3,24.6,25
"08","09","2012",24.8,23.2,24.7
"08","10","2012",25.6,24.6,25.3
"08","11","2012",23.4,22.8,23.2
"08","12","2012",NA,24.4,24.3
"08","13","2012",NA,23.6,23.7
"08","14","2012",NA,22,21.8
"08","15","2012",NA,23.2,24.3
"08","16","2012",26,24.2,25.4
"08","17","2012",NA,24.8,21.2
"08","18","2012",NA,NA,21
"08","19","2012",23.8,23,24.2
"08","20","2012",24.1,23,23.9
"08","21","2012",24.8,NA,24.9
"08","22","2012",24.1,23.2,24.1
"08","23","2012",24.2,22.8,24
"08","24","2012",20.9,NA,23.4
"08","25","2012",23.8,22.8,23.8
"08","26","2012",20.3,24.6,24
"08","27","2012",22,22,23.3
"08","28","2012",23.6,23.4,24.5
"08","29","2012",NA,25,25.9
"08","30","2012",NA,NA,21.6
"08","31","2012",26.1,24.2,25.6
"09","01","2012",21.9,22,22.6
"09","02","2012",25.5,NA,25.5
"09","03","2012",25.1,23.6,24.7
"09","04","2012",NA,22.4,23.1
"09","05","2012",20.7,22.6,24.2
"09","06","2012",24.1,22.6,23.9
"09","07","2012",NA,22.8,23.8
"09","08","2012",NA,NA,24.8
"09","09","2012",24.5,23,24.3
"09","10","2012",23.1,22,21.3
"09","11","2012",25.3,23.4,25.1
"09","12","2012",25.8,23.8,25.1
"09","13","2012",22.1,22,22.4
"09","14","2012",25.6,NA,25.3
"09","15","2012",NA,25,26.3
"09","16","2012",26.5,22,26.3
"09","17","2012",21.8,22,21.8
"09","18","2012",23,21,22.6
"09","19","2012",24.8,23.2,24.6
"09","20","2012",25.3,NA,25.3
"09","21","2012",24.1,22.4,23.8
"09","22","2012",25.1,21.8,24.7
"09","23","2012",24.6,23.6,24.3
"09","24","2012",24.4,20.2,21.8
"09","25","2012",23.7,22.4,23.7
"09","26","2012",25.2,23.8,24.9
"09","27","2012",24.5,23,24
"09","28","2012",23.3,21.8,23.5
"09","29","2012",NA,23,24.1
"09","30","2012",NA,24,25.2
"10","01","2012",24.5,24,25.7
"10","02","2012",25.2,24.2,24.9
"10","03","2012",26,24.4,25.7
"10","04","2012",26.2,25.8,26.1
"10","05","2012",25.3,23.8,25
"10","06","2012",23.9,NA,24.2
"10","07","2012",24.2,NA,24.6
"10","08","2012",24.5,23.6,24.3
"10","09","2012",24.4,NA,24.4
"10","10","2012",23.5,23.6,23.7
"10","11","2012",23.2,NA,23.1
"10","12","2012",25.2,22.2,23.9
"10","13","2012",24.5,NA,23.9
"10","14","2012",24.8,NA,24.6
"10","15","2012",24.5,23,24
"10","16","2012",23.7,23.8,23.8
"10","17","2012",24.1,23,23.7
"10","18","2012",23.5,22.2,23.3
"10","19","2012",NA,23.4,22.6
"10","20","2012",NA,22.8,24.1
"10","21","2012",24.4,22.8,24.4
"10","22","2012",23.7,23.6,24.2
"10","23","2012",24.6,23.8,24.4
"10","24","2012",NA,22.8,23.7
"10","25","2012",24.5,23.8,24.4
"10","26","2012",23,22.4,22.8
"10","27","2012",24.1,22.6,23.6
"10","28","2012",25.2,24.4,24.7
"10","29","2012",NA,22.4,23.9
"10","30","2012",23.3,22.2,23.2
"10","31","2012",23.5,22.2,23.7
"11","01","2012",24.2,22.8,23.8
"11","02","2012",25.5,23.8,25.2
"11","03","2012",25.2,23.8,25.1
"11","04","2012",25.6,NA,25.3
"11","05","2012",25.9,23.8,25.3
"11","06","2012",25.3,24.6,25.2
"11","07","2012",23.9,NA,23.6
"11","08","2012",24.7,23.2,24.3
"11","09","2012",25.8,24.2,25.2
"11","10","2012",24.9,24.5,24.7
"11","11","2012",24.8,23.8,24.5
"11","12","2012",24.9,24.4,24.2
"11","13","2012",24.8,24,24.5
"11","14","2012",24.9,23.2,24.5
"11","15","2012",25.9,24.2,25.6
"11","16","2012",24.8,NA,24.4
"11","17","2012",NA,23,24.1
"11","18","2012",24,23.6,24.2
"11","19","2012",24.2,NA,24.4
"11","20","2012",24.7,22.6,24.4
"11","21","2012",25,24.6,24.9
"11","22","2012",24,NA,23.6
"11","23","2012",24.5,22.6,23.8
"11","24","2012",25,24.4,24.6
"11","25","2012",NA,25,25.3
"11","26","2012",24.1,24.2,25.2
"11","27","2012",24.6,23.8,25.1
"11","28","2012",NA,24.4,25.9
"11","29","2012",NA,23.6,24.9
"11","30","2012",24.6,23.6,24.4
"12","01","2012",21.7,23,25.1
"12","02","2012",23.4,23,24
"12","03","2012",22.7,22.8,23.6
"12","04","2012",23.1,22.4,22.9
"12","05","2012",23.9,21.8,23.4
"12","06","2012",24,22.6,23.8
"12","07","2012",23.5,22.2,22.9
"12","08","2012",24.9,23.8,24.3
"12","09","2012",25.1,23,25.1
"12","10","2012",26.6,24.8,25.9
"12","11","2012",26.4,24,25.9
"12","12","2012",24.4,23,23.8
"12","13","2012",25.5,23.2,24.8
"12","14","2012",23.4,22.6,23.1
"12","15","2012",23.6,22.8,23.7
"12","16","2012",23.3,21.4,22.7
"12","17","2012",24.7,22.4,23.6
"12","18","2012",25.4,23,24.3
"12","19","2012",24.7,23,24.3
"12","20","2012",NA,23.8,24.8
"12","21","2012",23.6,23,23.6
"12","22","2012",24.9,23,24.7
"12","23","2012",24.6,23.4,24.6
"12","24","2012",26,24.2,25.8
"12","25","2012",26,25,26
"12","26","2012",25.4,24,25.4
"12","27","2012",25.3,23.8,25.4
"12","28","2012",25.1,24.2,24.9
"12","29","2012",24.9,23.6,24.7
"12","30","2012",24.9,24,25
"12","31","2012",24.5,23.6,24.3
"01","01","2013",24.7,NA,24.3
"01","02","2013",24.6,NA,24.6
"01","03","2013",NA,23.4,23.8
"01","04","2013",NA,23.6,24.2
"01","05","2013",24.4,23.2,23.8
"01","06","2013",23.9,22.8,23.2
"01","07","2013",23.6,22.8,23
"01","08","2013",NA,22.5,23.4
"01","09","2013",NA,22.6,23.3
"01","10","2013",22.6,23.4,24.1
"01","11","2013",21.5,23.4,23.3
"01","12","2013",23.7,22.6,22.4
"01","13","2013",23.6,22.4,23.2
"01","14","2013",24.8,22.6,23.8
"01","15","2013",NA,NA,23.1
"01","16","2013",NA,22.6,23.4
"01","17","2013",NA,23.4,24.6
"01","18","2013",20.3,23,23.6
"01","19","2013",24.6,22.8,23.1
"01","20","2013",24.8,23.2,23.9
"01","21","2013",24.3,23.6,23.9
"01","22","2013",NA,22.6,24.2
"01","23","2013",25.1,23,24.2
"01","24","2013",25.6,24.4,24.7
"01","25","2013",24.9,23.4,23.8
"01","26","2013",24.6,22.6,23.3
"01","27","2013",NA,23.6,23.9
"01","28","2013",23,23,24
"01","29","2013",24.9,23.4,24.6
"01","30","2013",25.3,23.6,24.6
"01","31","2013",24.8,23,24.3
"02","01","2013",25.3,22.6,25
"02","02","2013",23,23.8,25.1
"02","03","2013",NA,23.2,22.5
"02","04","2013",24.2,23,23.3
"02","05","2013",24.8,22.8,23.8
"02","06","2013",24.7,22.3,24.2
"02","07","2013",NA,23.2,24
"02","08","2013",NA,23.8,24.5
"02","09","2013",25.1,23,24.3
"02","10","2013",24.4,22,23.4
"02","11","2013",24.3,22.6,23.3
"02","12","2013",24.9,23.4,24.1
"02","13","2013",25.2,22.8,23.9
"02","14","2013",24,22.8,23
"02","15","2013",24.1,22.6,23.5
"02","16","2013",21.7,22.4,23.8
"02","17","2013",25.7,23.2,24.8
"02","18","2013",23.2,23.4,24.8
"02","19","2013",25.8,23.4,24.8
"02","20","2013",24.4,23.6,24.5
"02","21","2013",25.7,23.8,24.7
"02","22","2013",25.9,23.2,25
"02","23","2013",25.8,24.4,24.7
"02","24","2013",NA,23.2,24.9
"02","25","2013",25.6,23.4,24.8
"02","26","2013",26.7,23.4,25.1
"02","27","2013",26,24.2,25.1
"02","28","2013",26.4,24.4,25.2
"03","01","2013",26.4,24.5,25.6
"03","02","2013",25.7,NA,25.1
"03","03","2013",26,24.2,25.8
"03","04","2013",25.3,24.4,24.3
"03","05","2013",25.9,NA,25.2
"03","06","2013",26.3,24.2,25.3
"03","07","2013",25.3,23.8,25.6
"03","08","2013",24.3,NA,25.9
"03","09","2013",24.6,24.4,25.6
"03","10","2013",25.1,24.6,26.1
"03","11","2013",26,25.2,25.2
"03","12","2013",26,24.2,25.8
"03","13","2013",24.1,23,23.8
"03","14","2013",26.1,24.6,25.7
"03","15","2013",25.9,23.2,25.9
"03","16","2013",24.7,23.8,25.6
"03","17","2013",25.8,23.8,25.6
"03","18","2013",26.3,24,25.6
"03","19","2013",NA,24,25
"03","20","2013",25.4,24.2,24.6
"03","21","2013",25.6,23.4,24.4
"03","22","2013",24.6,23.2,23.3
"03","23","2013",24.9,NA,24.3
"03","24","2013",25.3,23.2,24.6
"03","25","2013",26.3,24.6,25.4
"03","26","2013",26.6,NA,25.2
"03","27","2013",25.9,24.4,25.8
"03","28","2013",25.1,24.6,25.5
"03","29","2013",NA,24.4,25.2
"03","30","2013",NA,24.2,25.4
"03","31","2013",26.7,NA,25.7
"04","01","2013",26.8,25.4,25.8
"04","02","2013",26.6,24.4,25.8
"04","03","2013",25.3,24.4,24.6
"04","04","2013",26.3,23.8,25.2
"04","05","2013",26.6,24,25.4
"04","06","2013",26.4,24.6,25.1
"04","07","2013",26.1,NA,25.6
"04","08","2013",26.8,24.4,25.7
"04","09","2013",26.8,25.2,25.8
"04","10","2013",27.2,25.4,25.9
"04","11","2013",26.6,24.4,26
"04","12","2013",27.1,25.4,26.2
"04","13","2013",26.4,24.4,25.9
"04","14","2013",NA,24.6,26.2
"04","15","2013",NA,25,26.4
"04","16","2013",25.8,24.6,25.1
"04","17","2013",26.5,25.4,25.8
"04","18","2013",24.7,24.8,24.9
"04","19","2013",23.5,NA,23.5
"04","20","2013",23.3,22,22.9
"04","21","2013",24.9,24,24.6
"04","22","2013",25.3,23.8,24.9
"04","23","2013",25.6,23.6,24.6
"04","24","2013",24.9,23.8,24
"04","25","2013",26.1,NA,25.3
"04","26","2013",22.8,22.8,23.6
"04","27","2013",25.1,24.6,24.9
"04","28","2013",24.6,23.8,23.9
"04","29","2013",25.4,23.8,24.4
"04","30","2013",25.5,23.8,25.1
"05","01","2013",25.8,24.2,25.3
"05","02","2013",24.8,23.2,24.6
"05","03","2013",24.1,23.2,23.8
"05","04","2013",24.6,NA,24.4
"05","05","2013",25.1,23,24.7
"05","06","2013",24,23.4,24.1
"05","07","2013",23.1,23,22.9
"05","08","2013",25.2,23.4,24.7
"05","09","2013",NA,25.2,24.8
"05","10","2013",24.8,24,24.4
"05","11","2013",24.4,23,24.1
"05","12","2013",25.9,24.6,25.2
"05","13","2013",25.8,NA,25.5
"05","14","2013",26.6,24.6,25.7
"05","15","2013",26.6,25.4,26.2
"05","16","2013",26.2,NA,25.4
"05","17","2013",26,24.2,25.3
"05","18","2013",25.5,25,25.3
"05","19","2013",25.3,NA,24.8
"05","20","2013",25.3,24,24.4
"05","21","2013",23.5,23.4,23.4
"05","22","2013",23.5,NA,23.4
"05","23","2013",23.4,22.4,23.6
"05","24","2013",25.2,22.8,25.1
"05","25","2013",25,24.6,24.4
"05","26","2013",25.9,24.2,25.1
"05","27","2013",23.7,22.4,22.8
"05","28","2013",NA,24.8,24.7
"05","29","2013",20.7,23,24.1
"05","30","2013",22.6,23.6,23.9
"05","31","2013",23.6,NA,23.1
"06","01","2013",23.3,22.2,22.8
"06","02","2013",25.2,23,24.6
"06","03","2013",22.8,NA,22.6
"06","04","2013",22.9,22.2,22.9
"06","05","2013",24.1,22.2,22.7
"06","06","2013",24.2,23,24.3
"06","07","2013",24.7,23.2,24.6
"06","08","2013",26.4,25.2,25.6
"06","09","2013",25.6,NA,23.7
"06","10","2013",23.9,22.8,23.6
"06","11","2013",23.1,23.6,23
"06","12","2013",23.1,NA,23.6
"06","13","2013",25.6,24.4,25.2
"06","14","2013",25.6,25.4,23.7
"06","15","2013",24.1,23,24
"06","16","2013",25.8,24.2,26
"06","17","2013",26.6,25.6,25.8
"06","18","2013",26.2,25.4,22.8
"06","19","2013",23.7,21.6,25.4
"06","20","2013",25.6,24.2,25.2
"06","21","2013",25.6,25.4,25
"06","22","2013",25.7,24.2,26.6
"06","23","2013",27.2,NA,22.1
"06","24","2013",22.6,21,24.1
"06","25","2013",24.5,NA,25.4
"06","26","2013",25.7,24.4,25.2
"06","27","2013",26,NA,21.4
"06","28","2013",21.5,20.2,22.7
"06","29","2013",22.9,NA,24.8
"06","30","2013",25.1,24,25.3
"07","01","2013",25.4,NA,24.2
"07","02","2013",25,23.8,24.8
"07","03","2013",25,NA,25
"07","04","2013",23.8,24,23.8
"07","05","2013",23.9,24.6,24.8
"07","06","2013",24.6,24.6,25.6
"07","07","2013",25.6,25.4,24.8
"07","08","2013",24.9,23.8,25.7
"07","09","2013",22.7,25.2,22.6
"07","10","2013",22.5,22.6,21.8
"07","11","2013",22.5,22,23.9
"07","12","2013",24,23,24.7
"07","13","2013",25,24.2,24.8
"07","14","2013",25.1,24.6,26.1
"07","15","2013",26.3,24.6,26.1
"07","16","2013",26.3,24.6,22.6
"07","17","2013",21.7,22.4,26.2
"07","18","2013",25.5,NA,23.1
"07","19","2013",22.6,20.8,25.9
"07","20","2013",24.8,NA,26
"07","21","2013",24.1,23,26.5
"07","22","2013",24.7,23.2,26.6
"07","23","2013",26.2,24,26.7
"07","24","2013",25.9,NA,27.8
"07","25","2013",26.6,24.6,27.8
"07","26","2013",22.9,22.4,25.9
"07","27","2013",24,23.2,26
"07","28","2013",26,24.6,26.3
"07","29","2013",21.9,22.4,25.9
"07","30","2013",23.9,23.4,24.2
"07","31","2013",24.4,23,25
"08","01","2013",25.3,24.4,24.2
"08","02","2013",24.7,23.2,25.2
"08","03","2013",25.7,24,23.6
"08","04","2013",25.4,22.4,23.7
"08","05","2013",24.3,22.6,25.1
"08","06","2013",26.3,23.8,26
"08","07","2013",26.6,24.6,22.9
"08","08","2013",23.1,22.6,23.7
"08","09","2013",24.2,23.4,24.3
"08","10","2013",25,NA,22.6
"08","11","2013",23,NA,23.4
"08","12","2013",23.9,22.2,24.3
"08","13","2013",24.9,24.2,24.5
"08","14","2013",25.1,24.2,25.3
"08","15","2013",NA,24.2,23.6
"08","16","2013",24.6,23.4,24.5
"08","17","2013",25.1,23.8,25.2
"08","18","2013",25.3,24.4,22.4
"08","19","2013",25.7,23.6,23.8
"08","20","2013",24.3,23.6,24.7
"08","21","2013",NA,23.6,24.1
"08","22","2013",NA,23.8,24.5
"08","23","2013",25.2,NA,23.1
"08","24","2013",24.2,23.4,22.8
"08","25","2013",23.3,22.6,21.8
"08","26","2013",25.4,23,22.2
"08","27","2013",22.2,21.2,24.4
"08","28","2013",24.7,24.6,22.1
"08","29","2013",23.2,22,24.4
"08","30","2013",24.5,23,22.3
"08","31","2013",24.5,23.6,22.6
"09","01","2013",22.9,22,24.7
"09","02","2013",25.1,23.4,22.2
"09","03","2013",25.4,22.6,24.1
"09","04","2013",24.5,23.4,23.2
"09","05","2013",24.3,23,23.4
"09","06","2013",23.6,NA,24
"09","07","2013",23.9,23.4,24.5
"09","08","2013",24.3,23.2,24.3
"09","09","2013",NA,24,24.3
"09","10","2013",NA,23.8,24.2
"09","11","2013",NA,23,23.4
"09","12","2013",NA,NA,23.6
"09","13","2013",NA,22.8,24.5
"09","14","2013",NA,23.8,23.1
"09","15","2013",NA,23.2,23.1
"09","16","2013",NA,23.6,24.4
"09","17","2013",NA,24.4,24.5
"09","18","2013",NA,24,24.2
"09","19","2013",NA,24.6,24.4
"09","20","2013",24.6,23.4,25
"09","21","2013",25.4,24.2,24
"09","22","2013",26,24.6,22.6
"09","23","2013",24.5,23.4,23
"09","24","2013",23.3,22.6,24.8
"09","25","2013",25.7,25,22.3
"09","26","2013",23.5,24,23.1
"09","27","2013",23.1,22.8,23.8
"09","28","2013",23.9,22.8,24
"09","29","2013",25,23.6,23.8
"09","30","2013",NA,NA,24.3
"10","01","2013",23.6,23.2,24.5
"10","02","2013",24.7,23.4,23.9
"10","03","2013",NA,23,23.3
"10","04","2013",NA,23,25.1
"10","05","2013",NA,22.6,26
"10","06","2013",NA,23.6,25.3
"10","07","2013",26.4,24.8,24.3
"10","08","2013",25.4,23.2,26.3
"10","09","2013",24.5,23.2,22.1
"10","10","2013",25.7,24,24.2
"10","11","2013",22.6,21.4,24.6
"10","12","2013",23.7,22.6,24.6
"10","13","2013",25.1,23.6,24.6
"10","14","2013",24.7,23,24.6
"10","15","2013",24.1,23.6,24.2
"10","16","2013",24.4,23.6,25.4
"10","17","2013",23.5,23.2,24.3
"10","18","2013",NA,22.6,26.4
"10","19","2013",NA,22.6,24.9
"10","20","2013",NA,24,24.1
"10","21","2013",NA,23.6,23.6
"10","22","2013",NA,23.6,24.3
"10","23","2013",NA,22.6,24.5
"10","24","2013",NA,24.2,24.4
"10","25","2013",NA,24,24.2
"10","26","2013",24.8,24,25
"10","27","2013",NA,24,24.8
"10","28","2013",NA,23.6,24
"10","29","2013",NA,24.2,24.8
"10","30","2013",NA,23.2,23.4
"10","31","2013",NA,23.4,22.9
"11","01","2013",NA,22.2,22.2
"11","02","2013",NA,22.2,23.5
"11","03","2013",NA,22.2,23.9
"11","04","2013",NA,22.6,24.4
"11","05","2013",NA,23.4,22.9
"11","06","2013",NA,24,23.3
"11","07","2013",NA,22.4,23
"11","08","2013",NA,22.6,23.8
"11","09","2013",NA,23,24.4
"11","10","2013",NA,23.2,25.2
"11","11","2013",NA,NA,24.1
"11","12","2013",NA,24.4,24
"11","13","2013",NA,24.2,25.1
